AI1-02 [m/s²],AI1-05 [m/s²],AI1-08 [m/s²],AI1-11 [m/s²],AI1-14 [m/s²],label
4.15,10.52,-26.97,5.21,-9.55,1
13.71,16.32,-12.6,-5.93,-9.05,1
19.06,17.53,8.35,1.9,-9.67,1
18.01,15.03,6.15,0.71,-10.27,1
21.08,11.13,4.79,-31.44,-10.0,1
18.46,8.7,-14.06,-2.15,-2.99,1
16.38,9.02,-25.35,-6.45,38.59,1
13.28,14.08,-16.99,-0.69,0.27,1
14.95,13.77,-17.69,2.62,-6.69,1
10.07,7.39,-4.19,-3.31,1.55,1
2.59,-2.37,3.06,4.19,-17.17,1
-0.07,-17.18,6.16,0.57,-8.96,1
-3.22,-21.91,1.26,-10.12,-3.71,1
-6.93,-19.89,-7.51,-20.21,-9.27,1
-0.43,-6.3,-7.7,-5.58,-7.65,1
19.99,5.77,-12.08,-17.59,-4.24,1
32.2,16.17,-9.17,0.15,-11.11,1
35.83,18.87,0.7,4.72,-6.25,1
34.41,11.82,0.02,-5.86,-3.03,1
19.39,5.21,6.71,3.44,-4.4,1
-0.59,-0.06,-11.69,-0.49,-5.23,1
-12.82,0.49,-25.88,-5.9,-9.63,1
-14.47,-6.13,-28.97,-17.56,-5.43,1
-12.56,0.6,-38.92,-9.3,-2.92,1
-1.45,12.26,-6.24,-0.97,-6.09,1
14.99,18.26,5.37,-5.81,0.9,1
17.02,17.24,28.33,3.02,-3.14,1
6.93,4.54,48.32,0.27,-6.52,1
-1.3,-10.0,20.68,4.06,2.34,1
-4.06,-24.89,17.14,6.8,5.33,1
-13.03,-22.44,-28.02,-7.24,0.71,1
-10.21,-15.93,-45.0,0.43,-5.96,1
4.93,1.7,-40.28,-8.93,-3.98,1
18.39,28.91,-22.71,-20.37,0.62,1
19.37,42.64,22.4,2.25,8.88,1
16.84,44.47,26.51,-2.74,7.07,1
12.26,25.31,48.63,0.92,0.72,1
-2.65,10.06,22.91,-1.01,-7.22,1
-16.27,0.85,-4.4,0.19,6.97,1
-25.17,8.43,-21.44,-0.01,2.68,1
-28.41,23.61,-56.97,-2.28,68.68,1
-32.26,32.47,-35.43,-0.49,71.75,1
-37.17,34.32,-28.51,-0.83,0.31,1
-40.99,18.8,13.77,-0.93,-2.7,1
-48.86,6.08,44.53,-0.94,-3.7,1
-50.38,-12.14,45.7,-0.5,8.91,1
-40.31,-22.99,52.98,-0.93,-0.04,1
-34.66,-22.54,7.35,-2.03,-0.99,1
-29.68,-23.68,-17.08,-3.15,3.61,1
-21.12,-21.58,-43.81,-3.78,-0.05,1
-13.38,-20.97,-42.09,-2.43,10.39,1
-12.7,-18.72,-14.19,-0.53,21.69,1
-7.38,-16.53,0.64,0.29,4.48,1
3.22,-13.78,40.2,1.31,-8.75,1
8.36,-5.64,35.35,-2.62,-1.92,1
12.3,-0.6,33.29,-0.67,3.21,1
18.37,-0.16,22.18,1.11,3.36,1
24.76,-2.81,0.72,-0.17,4.07,1
24.13,-4.31,3.26,-0.9,2.04,1
17.01,-2.51,-6.62,-1.17,-2.46,1
3.91,-3.02,1.28,-1.03,1.47,1
-14.09,1.56,4.03,-0.66,4.2,1
-34.89,-0.9,9.53,-0.51,0.7,1
-46.01,-4.97,24.86,-0.5,1.4,1
-51.73,-5.68,20.72,-0.04,-1.14,1
-56.25,-13.3,26.26,-0.86,3.02,1
-50.64,-17.17,20.91,-1.56,-2.99,1
-37.24,-12.64,15.31,-0.91,28.02,1
-21.27,3.94,7.69,-0.64,62.88,1
-2.3,15.41,-4.98,-1.13,7.53,1
14.59,20.84,-10.91,-1.08,-0.79,1
22.42,17.11,-14.91,-0.54,-4.82,1
20.52,3.07,-4.9,-0.28,-1.88,1
12.27,-5.6,-3.76,-0.27,2.66,1
2.13,-10.48,7.86,-0.15,-2.17,1
-2.56,-11.49,17.03,-0.28,-5.24,1
3.67,-10.29,18.14,-0.08,-3.8,1
16.39,-8.23,24.22,0.21,-4.29,1
25.74,-9.09,16.89,0.06,-2.93,1
24.94,-14.39,9.33,0.57,-2.31,1
18.51,-23.0,-3.94,1.04,-5.08,1
9.49,-29.22,-13.77,0.14,-5.14,1
2.76,-28.99,-5.45,0.37,-2.56,1
3.67,-26.1,-5.01,0.88,-2.17,1
8.25,-14.48,13.08,1.55,-2.59,1
12.5,-3.6,24.6,-0.03,-1.93,1
8.66,-2.97,17.36,2.02,-1.93,1
12.32,-7.8,19.32,-1.08,-3.78,1
17.52,-16.46,-8.59,3.86,-3.78,1
19.41,-20.2,-26.58,-3.15,-2.86,1
15.99,-18.16,-38.03,8.47,1.09,1
10.09,-6.74,-34.55,-23.95,-0.57,1
2.34,2.09,-15.73,-19.23,11.96,1
0.43,4.66,-0.67,14.13,31.13,1
10.51,4.12,26.77,-15.9,12.68,1
20.01,-4.48,12.38,8.58,3.73,1
16.66,-2.33,4.74,-1.08,5.14,1
9.63,0.92,-15.8,1.1,1.15,1
3.96,13.44,-32.05,4.48,-3.71,1
-0.79,29.3,-24.73,-3.5,0.52,1
-2.15,37.09,-24.63,1.13,2.01,1
3.32,44.27,-4.75,3.33,-1.87,1
15.19,37.04,-12.93,-0.81,-2.98,1
23.9,29.32,-12.95,-1.81,-5.63,1
24.43,21.51,-16.9,1.16,-6.2,1
15.94,13.19,-30.62,2.16,-4.44,1
4.11,15.98,-21.74,-1.64,4.42,1
-6.66,19.38,-27.31,-0.11,3.6,1
-10.92,20.14,-7.25,1.33,12.48,1
-1.38,9.52,-2.1,-0.23,7.75,1
12.47,-3.47,0.9,0.84,-8.24,1
26.01,-11.49,0.13,-1.79,-0.81,1
40.07,-17.27,-28.81,2.39,-0.65,1
49.5,-15.77,-26.81,-23.22,-2.83,1
45.99,-19.91,-31.62,14.74,-6.24,1
39.0,-25.73,-12.5,-2.23,-7.51,1
30.68,-23.04,9.15,-14.8,-4.35,1
24.24,-12.74,14.23,-2.22,-0.46,1
17.14,1.64,15.18,-13.67,-2.16,1
16.02,18.16,-7.77,-0.95,-2.84,1
16.48,30.14,-17.22,-7.41,-2.6,1
9.25,30.42,-25.56,-6.32,-2.27,1
0.13,22.04,-21.82,1.83,-2.34,1
-8.79,14.11,-6.01,2.9,-0.48,1
-15.99,8.58,1.58,37.07,-0.27,1
-17.61,11.68,18.08,23.04,-3.48,1
-12.53,25.1,17.09,-8.63,-3.43,1
-14.13,39.47,4.48,-6.81,-0.16,1
-20.54,42.92,-4.86,8.03,10.82,1
-27.95,32.51,-24.78,-5.21,6.37,1
-28.11,15.62,-26.21,5.27,1.12,1
-24.98,2.64,-16.85,1.76,0.49,1
-15.99,1.57,-2.21,-5.97,10.79,1
-0.92,8.35,19.62,5.53,81.0,1
2.75,12.96,32.13,0.7,69.66,1
0.18,8.59,34.5,-3.21,5.64,1
-4.98,4.3,17.03,0.73,-7.41,1
-7.51,3.37,2.5,2.35,-4.14,1
-6.35,2.66,-23.16,0.29,-2.52,1
0.17,7.57,-33.9,-0.45,-3.67,1
16.56,10.9,-36.64,0.63,-1.22,1
27.4,6.11,-32.48,2.08,-1.93,1
23.79,-8.61,-2.2,1.59,1.68,1
8.79,-27.17,8.28,0.7,7.55,1
-11.92,-28.16,37.2,1.21,4.17,1
-28.28,-12.77,31.9,2.17,-6.87,1
-28.25,11.99,18.36,1.66,-2.7,1
-11.88,37.96,4.41,0.28,0.17,1
6.64,45.94,-18.43,1.88,-4.79,1
13.35,41.62,-3.98,1.23,-5.75,1
7.76,25.48,-2.24,0.14,-0.16,1
-3.22,10.84,32.84,1.61,-3.19,1
-18.55,3.3,40.5,1.02,1.83,1
-23.95,9.06,37.58,2.27,0.17,1
-13.46,31.37,44.66,0.96,49.82,1
3.0,41.96,25.24,2.56,119.94,1
18.86,40.21,23.25,2.58,44.5,1
27.24,21.0,-6.46,-1.27,-15.61,1
27.65,-2.6,-24.03,0.11,-15.01,1
17.6,-11.97,-26.11,2.97,0.3,1
4.3,-6.22,-30.12,0.77,0.17,1
2.29,9.15,5.03,-0.17,-5.26,1
7.95,20.47,11.65,-0.43,-6.96,1
18.44,22.95,39.07,-0.57,-9.5,1
26.13,18.42,40.1,1.27,-5.15,1
27.37,12.45,18.39,-0.13,-5.0,1
18.47,7.42,-0.01,1.64,-10.79,1
6.09,6.7,-25.53,-0.9,-11.95,1
0.37,13.4,-9.54,36.9,-8.69,1
3.86,18.29,2.49,25.6,-8.53,1
15.08,18.27,51.58,-20.99,-11.41,1
29.82,12.61,78.73,8.23,-12.16,1
39.86,5.11,55.18,2.99,-10.93,1
35.99,-2.57,32.08,-2.67,-9.25,1
22.24,-8.71,-24.15,9.73,-9.7,1
7.43,-10.1,-35.72,-3.77,-12.8,1
2.62,-9.7,-33.79,1.13,-14.46,1
10.09,-7.02,-27.08,8.03,-12.42,1
27.36,-1.76,8.5,0.03,-10.67,1
44.22,2.24,12.86,0.52,-14.36,1
49.74,5.86,23.96,-0.77,-16.0,1
41.52,8.37,12.68,7.25,-13.81,1
20.61,13.43,-9.26,-4.34,-13.38,1
-1.98,17.65,-4.33,9.24,-14.02,1
-14.18,23.43,-11.64,23.95,-14.3,1
-15.09,30.46,8.79,-1.29,-14.49,1
-4.92,37.32,23.4,-11.01,-14.56,1
2.42,45.75,26.19,-8.18,-15.44,1
6.26,49.71,33.71,6.55,-15.93,1
2.28,48.37,16.72,-1.7,-17.15,1
-9.27,41.9,15.95,3.96,-17.82,1
-20.37,34.81,-4.1,-0.3,-13.3,1
-26.89,21.52,-28.99,0.48,-12.13,1
-27.34,8.5,-28.9,3.75,-15.26,1
-23.26,3.05,-41.71,-0.19,-16.41,1
-14.75,-5.91,-21.82,1.45,-14.91,1
-2.05,-6.74,-5.61,4.86,-12.12,1
7.78,-7.5,-0.63,3.24,-11.01,1
15.79,-11.18,11.51,-0.76,-14.87,1
22.47,-16.59,-8.87,-4.7,-16.6,1
24.07,-23.32,-17.07,0.46,-11.7,1
24.72,-26.39,-30.77,-0.25,-8.31,1
17.99,-27.46,-37.72,-0.03,-9.54,1
14.73,-24.77,-18.87,1.67,-12.47,1
20.02,-25.53,-12.9,1.98,-15.42,1
24.74,-25.53,2.44,1.69,-14.37,1
19.06,-30.7,-1.67,0.91,-15.93,1
8.85,-34.35,-3.08,2.71,-8.28,1
-1.98,-29.35,3.61,5.41,-1.74,1
-9.98,-27.31,-11.39,5.25,-9.67,1
-12.85,-21.35,-11.41,-0.79,-13.77,1
-11.41,-5.81,-22.4,2.07,-10.55,1
-16.6,5.72,-19.16,2.57,-10.44,1
-24.39,14.79,-7.3,1.0,-11.75,1
-41.2,18.09,-5.55,21.57,-7.45,1
-51.6,13.05,4.35,-5.58,-7.5,1
-54.13,2.38,-3.19,-2.55,-10.15,1
-47.5,-10.52,-2.8,7.75,-10.45,1
-31.66,-17.76,-10.75,-3.93,-7.1,1
-14.12,-16.03,-15.17,5.16,-5.37,1
-3.25,-11.46,-5.62,0.24,4.38,1
-4.77,-6.04,-13.77,-1.63,4.51,1
-16.1,-2.52,-12.17,4.02,-5.94,1
-32.36,-9.06,-10.48,-0.55,-7.31,1
-31.04,-24.79,-6.22,-1.02,-7.57,1
-26.13,-37.81,15.73,-0.29,-5.04,1
-21.36,-46.03,21.62,2.83,-5.34,1
-18.76,-48.8,27.77,0.63,-7.17,1
-15.34,-35.69,17.3,-1.8,-6.85,1
-17.08,-25.52,-4.78,2.37,-5.33,1
-30.53,-23.01,-18.08,1.2,-5.04,1
-39.02,-27.66,-33.59,0.92,-3.96,1
-39.34,-34.42,-22.94,0.19,-3.94,1
-36.47,-46.67,-15.88,0.29,-1.48,1
-30.3,-56.54,-3.83,2.04,-0.19,1
-24.21,-52.46,16.12,1.37,16.48,1
-19.47,-46.88,16.42,0.61,8.07,1
-20.03,-36.91,21.96,0.56,-2.29,1
-14.53,-31.59,12.08,1.88,-2.91,1
-0.87,-18.64,2.02,1.69,-4.92,1
11.3,-3.19,-0.92,0.71,-2.93,1
13.49,1.7,-6.98,1.57,-3.37,1
3.16,6.2,1.35,0.79,-1.97,1
-4.56,2.57,7.68,0.19,-0.74,1
-10.83,-1.08,16.3,1.59,-2.96,1
-10.45,-0.9,23.31,0.61,-2.41,1
-7.25,9.67,15.95,0.54,-0.49,1
-3.81,18.33,19.89,2.04,0.25,1
-4.22,20.74,16.04,2.07,-0.21,1
-9.48,22.62,12.97,1.87,2.77,1
-18.43,11.57,9.95,1.54,-2.34,1
-22.87,-0.38,-2.23,1.06,24.88,1
-16.65,-6.53,-2.17,1.3,42.9,1
-0.27,-5.53,-7.77,1.64,7.03,1
17.83,-4.66,-5.92,1.37,-5.55,1
29.36,-3.14,1.73,0.87,-1.5,1
34.05,-3.67,8.28,0.59,6.92,1
26.0,-9.01,19.82,0.7,3.68,1
14.78,-12.28,18.78,0.44,3.22,1
11.05,-16.23,13.76,0.52,4.75,1
17.63,-14.8,3.62,0.78,4.27,1
26.17,-16.52,-5.78,0.55,15.97,1
27.02,-14.81,3.61,0.6,30.17,1
24.39,-11.78,8.33,1.23,30.33,1
17.84,-13.09,21.61,1.58,29.86,1
5.12,-13.84,33.78,0.81,18.86,1
-3.31,-12.11,25.27,0.89,-2.51,1
-5.76,-0.71,18.11,0.81,-8.07,1
-1.86,8.38,-0.18,0.82,6.89,1
-1.17,13.6,-8.27,0.64,9.6,1
-2.59,16.99,-7.27,0.71,3.52,1
-0.38,16.16,-8.89,1.67,4.82,1
-0.92,17.5,3.91,0.77,1.56,1
-4.05,22.27,0.13,0.41,-1.14,1
-5.81,26.57,11.55,-24.54,5.87,1
-5.85,31.89,7.56,-3.62,3.67,1
-2.39,32.78,-2.39,-4.27,-4.08,1
-2.53,31.78,0.68,-4.24,-2.81,1
-5.47,31.39,-12.62,5.97,0.17,1
-0.55,32.36,-3.94,-1.96,-2.64,1
6.45,31.13,2.14,4.52,-5.33,1
9.55,25.0,1.52,-0.36,-2.57,1
10.78,17.57,7.89,-0.63,-0.32,1
16.93,11.04,3.86,1.36,11.66,1
16.96,4.88,6.37,0.03,25.49,1
6.61,2.88,5.47,-0.83,16.82,1
4.22,6.71,3.26,-2.79,-2.06,1
7.08,8.66,-1.34,6.41,-6.8,1
12.66,1.36,-9.37,1.35,-3.48,1
10.67,-8.5,-16.25,-1.65,-5.64,1
8.26,-15.13,-25.34,3.23,-1.93,1
10.68,-19.95,-11.99,0.36,-1.09,1
18.77,-11.89,-6.02,0.08,-5.85,1
18.57,-2.15,-5.49,1.35,-2.82,1
7.36,2.66,-4.97,1.49,1.81,1
-3.76,6.02,-18.31,10.0,1.22,1
-7.49,3.09,-30.56,5.57,-2.07,1
-0.06,3.14,-36.54,0.31,7.49,1
11.59,1.39,-26.78,-1.2,42.83,1
13.34,-3.22,-15.69,3.16,53.69,1
1.66,-5.03,-2.37,-0.35,33.41,1
-11.26,1.29,12.6,0.87,6.59,1
-13.39,14.89,7.74,1.63,-1.05,1
-1.75,28.63,-4.69,-0.04,-1.97,1
10.19,24.2,-20.48,1.94,-0.64,1
17.72,6.23,-33.65,1.2,2.6,1
13.77,-7.63,-36.6,-0.15,1.55,1
0.64,-15.22,-27.16,2.07,-0.45,1
-12.59,-10.24,-3.73,1.33,-0.13,1
-19.55,4.2,8.7,1.59,0.7,1
-21.16,20.56,20.99,-4.11,-0.41,1
-27.33,11.58,11.9,17.65,3.33,1
-25.02,-7.93,-16.29,5.67,16.52,1
-24.65,-28.46,-31.13,-8.98,27.27,1
-24.68,-47.27,-40.71,7.41,28.16,1
-28.01,-45.3,-35.79,-1.65,4.89,1
-23.02,-34.9,-5.68,2.97,-7.64,1
-20.69,-26.26,12.24,2.81,-2.77,1
-18.7,-29.12,25.79,-1.97,-1.91,1
-6.92,-34.85,20.6,3.06,-3.77,1
-7.35,-41.18,0.78,2.57,-5.39,1
-12.64,-42.07,-10.04,1.2,-4.34,1
-12.08,-38.39,-26.49,0.9,-1.63,1
3.07,-37.56,-17.03,2.66,-1.66,1
9.2,-30.35,-7.9,4.05,-6.77,1
-3.22,-25.7,8.18,-0.5,-7.76,1
-18.38,-16.14,26.72,5.02,-6.7,1
-28.38,-2.63,22.69,0.92,-4.42,1
-34.59,7.88,30.02,4.11,3.47,1
-30.19,12.91,0.53,22.21,15.45,1
-10.66,16.31,-17.73,8.61,20.84,1
3.4,23.43,-18.39,0.12,6.97,1
-0.35,21.58,-37.01,-0.28,-6.29,1
-11.56,20.23,-12.11,4.66,-5.1,1
-16.35,11.66,5.09,-0.29,-3.52,1
-14.68,9.52,12.18,4.56,-5.19,1
-12.55,14.11,25.79,3.28,-6.59,1
-5.35,18.63,10.34,1.0,-6.27,1
8.19,27.26,-0.09,5.48,-6.48,1
21.5,20.76,-14.86,2.25,-4.76,1
36.16,8.45,-15.47,8.14,-3.37,1
39.72,-10.26,-3.85,16.57,-4.56,1
38.27,-33.99,3.31,8.55,-4.94,1
36.05,-47.91,30.06,1.01,-4.24,1
33.9,-46.17,26.1,13.71,-4.02,1
35.68,-25.51,23.25,0.54,-3.93,1
35.52,-12.56,15.82,-1.82,-2.89,1
32.84,-5.27,2.88,6.76,-4.42,1
24.16,-12.06,4.11,-0.46,-6.56,1
14.52,-30.34,-0.94,4.02,-4.14,1
9.23,-40.08,8.02,2.39,-2.87,1
8.58,-40.82,18.37,0.22,-4.96,1
3.4,-23.16,18.55,1.68,-3.9,1
-6.32,-9.24,23.74,1.95,-2.14,1
-13.5,10.27,1.95,1.53,-4.24,1
-22.84,21.55,6.68,0.12,-4.81,1
-29.9,22.78,-4.13,2.91,-4.28,1
-29.47,24.2,0.34,2.68,-7.11,1
-20.05,22.42,10.32,-1.51,-8.09,1
-8.89,28.98,6.89,2.95,-6.45,1
-1.81,25.18,22.54,-18.35,-6.91,1
4.4,33.31,8.14,-6.09,-6.32,1
1.54,32.55,8.32,-1.17,-5.43,1
-6.76,28.38,11.26,-1.86,-7.06,1
-18.5,30.57,0.79,5.2,-8.58,1
-22.09,29.61,13.66,-0.55,-8.15,1
-14.78,39.49,2.55,2.52,-7.48,1
-1.88,35.57,5.21,1.33,-7.91,1
17.24,35.35,3.08,1.38,-8.37,1
30.61,23.24,-6.08,2.27,-6.25,1
33.54,5.75,7.56,1.74,-3.76,1
25.0,-7.84,-2.33,0.43,-2.83,1
11.63,-17.31,2.06,1.45,-2.25,1
-9.14,-12.19,-4.49,1.41,-3.41,1
-23.18,-10.42,-2.16,2.22,-6.2,1
-20.01,-1.15,2.06,0.09,-4.7,1
-8.6,-3.84,-5.85,5.1,-2.98,1
4.61,-11.19,0.7,-12.73,-4.52,1
11.97,-27.19,-1.31,-29.99,-6.18,1
8.0,-43.88,-0.68,-10.94,-6.08,1
-1.61,-44.03,1.9,-3.72,-5.69,1
-11.27,-36.07,3.59,0.99,-5.08,1
-16.17,-13.53,7.33,0.61,-4.07,1
-19.63,3.47,4.01,-1.16,-3.0,1
-18.17,16.59,6.17,2.28,-0.3,1
-6.83,18.11,-8.56,-0.16,0.72,1
13.64,14.34,-22.98,-1.21,0.19,1
24.84,7.41,-11.42,1.8,-2.6,1
22.82,0.24,-12.16,-0.22,-4.94,1
13.56,6.73,-1.96,-2.06,-5.9,1
-1.3,10.5,-1.19,-0.1,-2.97,1
-13.0,20.68,-11.3,0.17,-0.64,1
-16.77,23.24,-14.12,-1.33,8.86,1
-17.44,20.21,-16.86,-0.77,12.43,1
-20.34,17.52,-16.01,-0.97,29.62,1
-26.51,11.21,-11.48,-1.1,67.4,1
-30.96,8.16,-10.95,-2.2,14.77,1
-29.11,-1.2,-10.81,-1.44,-10.01,1
-27.56,-6.04,-8.59,0.31,0.54,1
-25.33,-7.32,-6.63,-0.37,2.22,1
-25.27,-7.1,-5.7,-2.99,-3.12,1
-24.21,-3.91,-6.99,-2.02,-3.62,1
-20.13,-6.57,-5.16,-0.41,3.54,1
-16.97,-13.2,2.43,0.01,-9.9,1
-18.99,-28.05,-3.01,0.49,0.18,1
-22.26,-42.53,-3.43,-1.48,7.6,1
-22.47,-52.31,-14.69,-5.1,26.02,1
-16.82,-56.8,-19.11,-0.87,112.99,1
-9.66,-49.51,-12.51,-1.23,67.16,1
-2.45,-41.53,-13.56,-0.65,-4.63,1
-5.78,-29.82,6.93,0.04,2.75,1
-20.85,-18.68,8.16,0.47,18.85,1
-32.66,-12.67,8.22,0.91,14.77,1
-29.99,-8.9,2.72,-0.56,2.22,1
-19.93,-10.93,-12.46,-1.47,22.52,1
-5.9,-14.99,-13.65,-8.82,63.8,1
7.13,-17.29,-21.03,-6.7,51.85,1
6.2,-16.46,-13.74,0.57,43.4,1
3.97,-9.58,-0.5,-9.29,25.41,1
4.62,0.15,14.76,-23.96,3.79,1
1.92,7.32,32.0,-2.2,8.47,1
-0.96,11.69,30.42,-3.77,15.32,1
-0.86,9.93,19.51,0.92,6.14,1
11.29,6.26,7.12,1.42,-1.32,1
24.59,2.17,-12.17,-0.24,-1.91,1
30.59,-2.39,-18.6,2.71,3.4,1
24.24,-3.18,-9.88,-3.72,-10.82,1
11.23,0.84,2.0,-2.28,57.26,1
-0.19,3.83,10.99,0.61,123.26,1
-2.25,9.5,26.13,-10.05,31.19,1
7.09,12.12,10.7,-7.77,-30.21,1
22.44,4.56,6.67,1.31,-15.21,1
30.18,-5.0,-4.38,-0.26,7.95,1
23.83,-16.48,-15.2,0.54,-9.24,1
15.28,-22.29,-6.93,-0.69,5.1,1
2.72,-21.92,-2.76,1.4,0.34,1
-4.0,-13.02,11.14,1.0,-22.23,1
2.84,-4.39,11.32,-0.2,-9.71,1
16.78,0.74,7.54,0.08,9.6,1
24.99,0.0,7.76,0.64,-3.74,1
30.15,-2.17,-1.26,0.54,-14.82,1
25.08,-2.53,5.56,-0.15,-5.67,1
10.32,-8.34,1.33,0.79,-3.88,1
-4.46,-15.37,10.24,0.28,-8.69,1
-7.81,-22.36,12.73,1.16,-11.45,1
-5.3,-19.43,9.61,-0.78,-14.68,1
3.19,-9.78,9.42,1.51,-12.24,1
16.28,4.74,-0.64,-1.78,-6.75,1
23.81,12.66,-2.78,4.0,-7.44,1
29.17,9.81,0.88,-12.87,-6.58,1
24.63,7.8,-3.99,-19.4,-3.25,1
24.78,4.7,9.59,6.45,-0.41,1
23.52,5.95,13.14,-7.58,0.52,1
23.05,10.87,5.16,3.55,-0.57,1
24.72,19.29,9.31,-1.02,-4.86,1
22.21,26.76,-6.96,0.41,-3.48,1
16.67,31.58,-3.48,-0.23,-5.62,1
8.13,32.47,0.4,-16.48,-9.89,1
7.78,28.52,-3.86,3.84,-10.53,1
15.51,27.63,15.14,-1.73,-9.16,1
20.12,28.4,1.06,-1.26,-7.07,1
22.89,27.01,5.07,1.03,-6.23,1
19.09,23.24,5.78,-2.24,-8.32,1
10.98,23.34,-0.65,7.36,-10.12,1
1.52,22.31,15.27,11.37,-7.77,1
-2.17,21.08,-3.88,-3.62,-3.89,1
4.88,23.72,-4.8,-11.21,-5.75,1
9.36,24.16,-14.74,-6.15,-10.52,1
11.62,24.0,-17.28,-10.21,-9.97,1
12.68,23.14,-0.57,-4.54,-5.33,1
13.71,19.4,-6.14,0.57,-4.18,1
12.1,8.45,17.54,-4.77,-5.91,1
10.37,1.79,12.38,-1.97,-6.93,1
7.98,0.6,14.97,1.01,-7.58,1
3.98,2.32,11.75,-1.62,-6.82,1
2.0,4.73,-10.78,-4.64,-5.9,1
2.3,4.62,-12.02,-9.0,-7.09,1
4.67,4.39,-33.23,-0.45,-8.86,1
9.28,0.78,-8.52,-2.14,-9.34,1
15.63,-0.04,-2.58,0.57,-7.9,1
22.29,3.27,19.71,-4.51,-8.8,1
22.51,6.34,38.77,-8.3,-7.95,1
16.55,5.28,5.24,-4.65,-7.25,1
8.48,4.71,6.65,-16.11,-8.49,1
-0.53,3.09,-24.98,-3.74,-8.67,1
-5.27,6.32,-23.85,-0.66,-8.91,1
-6.66,13.66,-13.05,0.69,-10.55,1
-8.14,20.54,-14.53,1.41,-11.72,1
-11.22,22.5,21.55,13.51,-8.87,1
-15.99,14.84,0.77,14.82,-6.72,1
-21.52,7.21,11.69,-5.44,-11.25,1
-26.12,4.07,17.46,0.93,-11.33,1
-31.54,2.63,-16.06,5.54,-11.89,1
-34.32,6.3,-2.45,-0.95,-3.29,1
-33.71,14.52,-19.17,4.69,-0.51,1
-33.69,14.3,-14.2,1.52,-9.5,1
-29.31,12.7,-2.25,0.51,-14.21,1
-23.09,9.68,-20.14,8.25,-13.58,1
-14.4,8.34,-11.37,-0.07,-10.23,1
-15.63,5.21,-26.55,9.42,-10.18,1
-22.31,0.87,4.75,12.62,-12.09,1
-26.49,3.34,29.04,-0.44,-6.33,1
-22.3,3.82,28.12,10.78,-0.76,1
-16.59,9.68,19.35,4.7,-31.22,1
-12.06,12.74,-26.35,3.98,-16.21,1
-11.27,18.69,-41.25,4.0,0.92,1
-10.69,19.05,-57.18,-0.12,-18.53,1
-15.99,10.16,-27.31,3.26,-12.47,1
-27.68,2.93,13.01,5.5,-5.07,1
-31.0,-11.1,47.37,2.95,-8.93,1
-26.93,-15.73,78.51,10.29,-9.65,1
-15.71,-17.21,42.58,10.47,-12.18,1
-3.98,-15.03,3.04,2.33,-13.47,1
7.29,-11.63,-54.0,1.59,-7.05,1
7.88,-11.49,-80.51,5.76,-8.35,1
6.91,-9.92,-60.13,2.77,-1.08,1
-0.18,-14.65,-18.23,1.78,-6.83,1
