AI1-02 [m/s²],AI1-05 [m/s²],AI1-08 [m/s²],AI1-11 [m/s²],AI1-14 [m/s²],label
-92.55,-15.58,49.83,4.02,-4.68,4
-104.98,2.23,78.1,12.71,-6.16,4
-107.47,26.27,58.16,8.75,-6.18,4
-121.06,44.05,14.79,0.65,-5.77,4
-122.04,45.62,-39.28,5.26,-5.21,4
-127.22,18.42,-46.15,5.27,-6.47,4
-125.34,-20.7,-51.64,4.87,-9.59,4
-125.25,-44.06,-19.3,0.07,-11.49,4
-113.51,-61.11,28.39,2.65,-11.43,4
-92.44,-55.67,28.64,-25.6,-10.93,4
-79.16,-45.26,40.15,1.65,-10.96,4
-51.87,-31.11,3.75,1.33,-11.21,4
-16.09,-45.39,-8.44,-4.31,-12.16,4
13.31,-60.36,-8.42,9.35,-13.87,4
30.63,-69.01,-16.3,0.25,-13.39,4
38.21,-86.9,34.83,2.32,-12.37,4
29.74,-68.19,39.62,-1.44,-11.6,4
14.38,-36.25,70.46,-2.74,-12.05,4
-12.65,-9.37,75.55,3.22,-13.57,4
-24.69,-11.29,28.88,0.2,-15.4,4
-44.33,-33.23,18.37,-3.64,-16.2,4
-74.28,-67.65,-19.15,-3.37,-14.92,4
-83.93,-102.76,-13.19,3.27,-12.15,4
-80.71,-100.91,-6.26,-8.25,-10.71,4
-68.62,-92.52,20.77,-6.17,-12.73,4
-26.74,-62.1,54.95,-1.1,-16.37,4
10.81,-48.21,33.68,-2.13,-15.5,4
5.89,-52.01,42.97,3.6,-11.99,4
-28.23,-48.35,10.89,-1.71,-9.44,4
-57.08,-57.51,-12.45,1.43,-9.97,4
-55.12,-43.0,-11.01,2.39,-11.44,4
-27.59,-33.0,-36.06,0.78,-13.65,4
9.04,-20.16,-6.19,1.37,-13.42,4
43.76,-24.35,-9.65,1.33,-8.74,4
66.96,-23.51,40.21,0.99,-7.28,4
68.09,-18.78,97.1,1.4,-4.25,4
64.41,-17.42,87.62,0.64,-13.43,4
66.1,-0.55,97.6,0.43,-2.12,4
54.58,19.33,16.22,0.19,-16.01,4
34.02,53.92,-21.88,-0.19,260.01,4
22.16,65.65,-38.18,0.34,165.09,4
24.63,77.05,-40.7,0.51,-2.85,4
25.84,69.63,16.48,0.8,-8.19,4
26.42,65.63,21.55,0.18,-32.34,4
21.57,79.83,50.43,-0.41,18.01,4
4.25,83.1,30.53,0.08,-11.47,4
-5.82,89.12,-27.17,-0.01,-9.36,4
-0.83,87.09,-51.45,-0.63,10.27,4
0.55,81.01,-105.31,-0.73,-3.3,4
16.79,61.72,-85.4,-0.35,-19.51,4
43.85,37.56,-47.26,-0.21,-1.94,4
59.77,-2.06,-16.12,-0.2,-3.54,4
60.82,-23.13,47.18,0.15,-6.64,4
53.85,-26.61,60.13,-0.3,1.37,4
53.85,-30.7,65.7,-0.08,1.61,4
67.64,0.81,41.64,0.83,-6.37,4
94.91,20.48,-16.1,0.24,-3.8,4
124.58,22.2,-52.39,-0.14,-1.53,4
139.29,25.51,-90.02,0.29,32.69,4
126.68,9.31,-80.13,0.63,101.65,4
93.98,-13.67,-36.22,0.88,75.06,4
65.66,-10.19,6.83,0.81,9.01,4
31.38,4.33,52.92,0.67,-20.03,4
10.2,18.04,47.7,0.83,2.18,4
-0.66,42.12,28.49,1.19,7.29,4
2.95,49.61,-23.08,1.05,-1.0,4
11.59,46.34,-78.8,0.96,4.2,4
17.76,41.02,-86.55,1.21,-2.23,4
24.27,18.2,-81.2,1.47,-10.15,4
16.72,8.77,-22.11,1.21,2.51,4
-13.67,6.11,33.79,1.65,7.51,4
-37.9,15.1,51.2,1.73,-3.07,4
-43.71,35.4,48.72,1.32,-6.09,4
-29.14,40.58,-4.44,1.43,-2.97,4
-9.72,35.25,-31.48,1.12,-4.83,4
8.64,13.81,-60.55,0.82,-4.69,4
20.49,-4.09,-57.32,0.92,-2.94,4
22.94,-18.68,-0.45,0.81,-4.66,4
21.06,-5.52,34.29,1.02,-5.48,4
13.17,12.67,78.28,1.13,-7.69,4
4.21,8.11,59.6,1.01,-10.99,4
-19.61,-7.03,7.68,0.68,-10.19,4
-46.97,-35.18,-50.7,0.76,-7.89,4
-76.87,-45.31,-113.49,0.7,-9.43,4
-95.98,-41.97,-81.79,0.6,-12.13,4
-95.16,-31.61,-52.23,0.59,-16.97,4
-76.03,-17.67,-0.26,0.5,-26.06,4
-55.68,-20.04,50.03,0.26,-53.64,4
-52.65,-30.3,40.72,0.08,-49.18,4
-59.23,-46.45,52.6,0.38,-12.71,4
-77.93,-61.51,11.0,0.39,-12.97,4
-98.73,-68.01,-17.67,0.19,-15.99,4
-103.4,-69.15,-32.93,0.33,-15.81,4
-88.44,-67.24,-56.73,0.37,-10.61,4
-59.69,-68.95,-11.58,0.15,-11.36,4
-24.78,-68.12,-0.83,0.38,-11.88,4
-1.66,-75.83,27.79,0.34,-10.55,4
10.09,-73.15,60.67,0.45,-11.5,4
-0.33,-71.4,39.59,0.54,-11.53,4
-11.71,-72.35,42.82,0.26,-6.63,4
-36.42,-66.95,-0.63,0.38,-6.94,4
-60.88,-63.37,-35.78,0.41,-1.71,4
-79.03,-51.27,-44.07,0.17,-14.54,4
-82.31,-39.68,-46.41,0.45,-21.27,4
-80.13,-21.91,-4.22,0.41,-3.79,4
-78.78,-26.21,18.01,0.33,-4.46,4
-74.63,-33.94,50.96,0.14,4.97,4
-81.74,-36.87,63.85,0.38,-0.2,4
-89.7,-36.96,38.06,0.45,33.43,4
-77.02,-15.07,22.06,0.3,106.46,4
-28.28,-7.07,-17.71,0.79,183.03,4
3.19,1.4,-36.8,0.47,118.61,4
11.11,4.59,-34.82,0.5,-6.5,4
8.19,1.89,-15.73,0.57,-24.24,4
10.36,7.72,35.0,0.94,6.45,4
12.72,3.94,54.41,0.89,15.54,4
19.29,3.09,68.3,0.7,1.71,4
41.35,-7.23,42.42,0.81,8.76,4
40.83,-14.86,-1.92,0.85,7.23,4
25.77,-23.33,-20.08,0.92,3.23,4
15.18,-27.78,-38.68,0.82,10.14,4
13.71,-21.19,-27.6,0.88,4.73,4
-0.03,-25.75,-8.04,0.64,-3.34,4
-21.97,-13.13,16.12,0.73,3.19,4
-27.44,-5.36,35.17,0.37,12.07,4
-13.51,4.13,44.1,0.35,2.9,4
6.81,19.63,38.63,0.6,30.71,4
28.34,22.37,14.49,0.31,179.84,4
51.68,30.66,-8.89,0.35,197.52,4
57.47,35.03,-22.54,0.18,60.38,4
47.87,42.53,-24.49,0.26,-26.57,4
46.83,46.93,-13.02,0.18,-8.35,4
49.27,57.25,4.91,0.23,10.75,4
46.68,59.33,21.86,0.01,-8.96,4
58.77,49.14,25.18,0.71,2.54,4
85.8,38.24,6.23,-0.21,1.46,4
101.05,27.54,-14.97,0.35,-12.51,4
110.27,45.67,-38.74,-0.57,-3.9,4
124.12,67.31,-50.5,1.49,4.01,4
125.05,79.65,-34.97,-1.34,-5.85,4
110.7,82.19,-14.64,2.25,-2.74,4
104.35,78.39,11.29,-4.0,32.06,4
104.58,77.35,26.02,5.13,16.81,4
104.81,85.2,14.03,34.51,-10.62,4
106.41,97.49,-9.26,-16.03,-11.54,4
105.46,95.31,-28.36,-6.41,-7.09,4
88.01,94.99,-40.65,11.74,-6.53,4
62.45,93.87,-28.95,-7.54,-6.99,4
36.17,78.51,-11.92,6.69,-5.72,4
23.51,68.08,5.2,0.25,-11.55,4
18.92,59.92,27.5,-6.68,-12.59,4
15.44,61.71,17.25,7.57,-8.77,4
23.79,66.08,1.44,2.14,-8.7,4
31.73,56.67,-28.8,-3.17,-10.38,4
30.95,37.7,-64.87,-0.67,-10.38,4
31.9,20.64,-72.37,5.2,-11.22,4
32.35,13.82,-62.55,-0.74,-12.3,4
26.08,22.1,-1.31,-1.3,-12.5,4
22.96,40.58,45.2,-1.59,-12.8,4
31.12,41.86,49.93,10.25,-12.68,4
39.94,26.37,42.2,32.68,-11.42,4
47.13,2.9,-12.14,15.74,-11.17,4
59.08,-26.81,-48.35,-14.23,-13.39,4
73.0,-30.69,-63.99,-0.83,-15.01,4
71.85,-22.11,-57.67,8.74,-14.64,4
46.99,-6.02,-1.22,-11.03,-13.61,4
1.23,22.08,33.22,7.1,-13.77,4
-34.61,42.56,49.7,-3.71,-17.36,4
-53.74,53.31,31.57,-5.2,-16.12,4
-59.79,38.47,4.51,5.58,-17.98,4
-49.41,16.71,-4.42,-0.22,-15.38,4
-36.8,-3.8,-15.03,-2.72,-20.34,4
-37.4,-9.45,-0.12,1.43,-6.83,4
-56.5,-1.63,2.8,2.47,-28.23,4
-71.05,3.84,14.72,1.08,-38.95,4
-92.96,17.03,10.26,-0.71,-2.09,4
-113.45,8.14,-4.25,3.87,-17.91,4
-129.27,-8.93,17.44,0.0,-25.7,4
-130.69,-33.41,5.48,4.85,-16.16,4
-104.19,-54.6,35.7,-3.17,-20.07,4
-71.73,-59.05,42.2,9.47,-21.31,4
-43.95,-52.81,22.01,-20.96,-12.95,4
-30.77,-41.88,19.71,3.55,-19.95,4
-24.31,-49.12,-26.64,25.92,-20.96,4
-33.81,-56.21,-21.96,-28.61,-14.63,4
-50.43,-63.8,-25.2,10.25,-15.48,4
-61.82,-62.63,-2.62,0.98,-19.02,4
-63.56,-55.6,64.68,-4.42,-18.73,4
-54.29,-48.02,62.72,9.16,-16.36,4
-42.07,-50.23,76.64,-5.8,-16.44,4
-39.83,-64.11,29.11,-3.21,-15.2,4
-43.41,-64.43,-20.79,8.99,-14.04,4
-49.51,-58.31,-27.74,-1.15,-12.91,4
-49.69,-50.28,-23.72,-2.4,-12.16,4
-32.03,-43.19,23.26,-2.0,-11.63,4
-18.44,-44.56,39.97,18.86,-12.87,4
-22.13,-54.95,65.41,11.15,-11.99,4
-40.65,-59.74,60.25,-3.62,-11.16,4
-59.65,-48.51,20.37,-1.59,-8.36,4
-63.59,-31.77,7.55,-0.02,-13.93,4
-44.67,-21.16,-22.53,3.5,-19.88,4
-20.73,-15.63,-15.66,-4.01,-30.91,4
-9.93,-21.42,-1.03,3.44,-31.35,4
-23.17,-33.21,25.72,-0.98,-17.01,4
-46.94,-35.53,37.03,0.32,-13.93,4
-60.89,-24.74,34.77,1.43,-14.51,4
-53.47,-8.98,41.95,0.66,-12.11,4
-23.92,-2.82,13.79,0.63,-12.63,4
12.24,-3.04,10.78,15.45,-11.52,4
47.88,-18.43,-13.45,8.73,-8.82,4
77.15,-37.4,-11.78,-4.56,-9.85,4
89.65,-31.99,4.36,-9.63,-9.43,4
81.12,-19.39,-12.65,-1.02,-6.91,4
66.27,7.21,14.45,0.48,-6.57,4
52.2,27.91,-4.75,-2.42,-8.51,4
55.13,37.11,-18.53,2.27,-8.61,4
74.14,29.71,-7.66,-2.46,-6.7,4
93.28,12.3,-25.12,0.81,-5.41,4
98.28,19.83,7.96,1.12,-4.92,4
91.32,44.69,2.71,0.31,-5.95,4
67.93,75.95,8.91,-0.29,-3.04,4
38.41,90.87,15.27,1.32,11.24,4
9.49,84.2,-17.03,2.63,32.51,4
-10.21,54.97,-8.62,1.43,71.56,4
-7.06,24.44,-19.38,2.18,93.27,4
5.41,17.82,-16.76,-0.71,81.33,4
21.61,29.62,17.29,3.8,41.45,4
28.18,56.88,-12.99,6.07,1.33,4
31.29,71.54,15.14,-1.44,-8.5,4
28.32,66.98,-0.92,0.44,-2.09,4
28.86,31.21,-34.16,5.08,1.77,4
30.09,-19.03,-30.93,2.2,-2.82,4
37.44,-42.59,-69.8,0.03,-2.94,4
48.35,-22.24,-51.08,-0.91,-2.91,4
44.15,8.96,-43.24,-1.12,-4.98,4
36.11,40.46,-21.95,-0.91,-3.73,4
34.03,75.89,7.23,-0.31,-3.51,4
61.46,81.22,0.74,-2.17,-6.99,4
84.09,73.93,15.67,-1.1,-7.14,4
102.95,43.65,-1.9,1.78,-5.79,4
100.18,7.32,-13.25,-0.3,-5.81,4
82.61,-16.2,-41.58,0.17,-7.25,4
66.63,-13.09,-57.29,1.61,-8.45,4
56.59,7.83,-53.23,1.37,-9.19,4
49.87,45.98,-47.24,0.82,-8.04,4
22.56,79.22,2.32,-0.07,-6.11,4
-10.99,87.9,3.93,3.25,-6.78,4
-43.13,84.17,24.83,0.12,-8.31,4
-66.69,37.23,14.85,3.84,-8.41,4
-79.29,-17.29,-4.45,-1.69,-8.82,4
-59.82,-45.68,1.7,7.5,-9.81,4
-41.86,-43.11,-42.6,-25.59,-9.02,4
-52.18,-11.09,-27.39,-4.16,-8.58,4
-55.07,30.51,-42.9,6.18,-9.12,4
-59.17,52.46,-29.67,-12.19,-10.62,4
-64.52,35.03,9.2,8.82,-11.65,4
-63.81,-4.79,8.02,-4.3,-11.25,4
-41.58,-39.99,44.83,3.03,-10.6,4
-18.87,-64.4,18.55,1.05,-10.35,4
-5.84,-60.62,4.49,-3.43,-11.36,4
2.14,-43.77,-15.82,0.93,-12.71,4
-0.98,-21.91,-54.44,2.63,-13.9,4
-18.98,9.09,-29.82,-1.52,-13.65,4
-52.58,13.0,-34.61,-1.53,-11.79,4
-71.33,-9.11,6.72,-0.08,-11.16,4
-74.54,-51.25,35.1,-24.55,-12.65,4
-70.4,-90.37,30.57,7.91,-14.6,4
-70.13,-103.78,43.5,-5.81,-15.26,4
-55.37,-100.32,5.44,-3.35,-14.14,4
-45.68,-78.15,-16.19,4.1,-13.32,4
-52.64,-69.82,-20.88,-13.61,-13.36,4
-62.95,-65.46,-31.71,-9.93,-13.78,4
-80.43,-60.45,4.69,-15.11,-14.82,4
-95.23,-68.36,18.29,-16.05,-15.18,4
-99.62,-70.44,38.45,-3.77,-14.62,4
-95.28,-73.17,46.13,15.94,-13.64,4
-78.02,-68.38,32.38,-26.83,-13.4,4
-48.04,-69.07,28.91,-35.03,-14.04,4
-28.41,-63.58,13.14,-4.16,-14.77,4
-25.37,-60.22,30.33,-25.31,-12.42,4
-26.83,-62.16,37.36,-15.21,-12.63,4
-44.41,-53.2,33.75,-12.82,-9.98,4
-67.56,-39.11,28.02,-27.72,-15.31,4
-71.67,-23.92,4.97,-18.96,-23.43,4
-60.29,-17.37,8.5,-18.57,-22.9,4
-52.85,-9.09,12.18,-25.61,-28.92,4
-33.19,-11.59,33.46,-20.7,-26.59,4
-19.78,-15.49,52.63,-17.68,-23.96,4
-23.94,-9.95,42.81,-20.75,-26.83,4
-23.83,2.15,18.54,-22.33,-21.08,4
-21.16,10.46,-14.29,-20.72,-7.26,4
-8.96,7.72,-32.81,-19.07,-6.02,4
-10.77,0.79,-30.5,-20.11,-5.58,4
-6.21,-35.87,-12.17,-17.84,-5.08,4
-3.64,-50.93,38.31,-17.25,-5.56,4
1.75,-57.17,48.54,-15.45,13.04,4
19.5,-53.37,58.48,-11.57,81.52,4
49.81,-24.24,37.82,-11.73,88.54,4
78.29,5.88,-15.53,-12.01,36.69,4
76.29,11.26,-36.39,-11.54,-3.07,4
59.13,-5.94,-56.56,-12.19,-14.72,4
41.75,-3.63,-27.55,-9.27,-17.03,4
42.5,3.21,15.72,-9.54,-16.76,4
58.67,38.92,46.95,-11.06,-7.97,4
86.58,80.97,75.58,-8.25,-12.58,4
97.26,91.61,38.68,-8.44,-18.31,4
81.93,81.49,22.69,-9.34,21.28,4
56.01,45.66,-12.72,-5.9,62.08,4
21.05,10.22,-46.05,-2.18,73.77,4
-6.59,-8.22,-30.78,1.58,59.61,4
-11.1,12.86,-26.22,1.51,19.2,4
22.21,51.41,-2.14,22.09,-15.62,4
54.91,86.4,-18.5,8.92,-3.68,4
72.64,100.09,-15.98,-8.96,4.83,4
62.25,75.91,-16.23,7.34,0.31,4
51.86,53.77,-18.78,-0.55,0.8,4
49.08,23.09,10.26,0.9,1.84,4
64.52,14.24,-5.36,3.1,4.59,4
89.16,37.17,7.72,-2.45,8.29,4
90.38,48.22,-14.75,0.54,21.14,4
75.8,73.72,-40.12,1.98,45.11,4
62.63,86.23,-22.51,0.21,13.17,4
78.22,69.84,-29.22,0.54,-15.27,4
77.79,56.38,17.15,0.47,-8.35,4
61.49,48.18,29.25,3.0,8.68,4
29.17,39.3,12.16,-0.49,-0.62,4
21.57,68.15,-9.64,-0.68,-5.98,4
13.91,87.45,-55.93,2.14,0.51,4
17.45,85.93,-53.9,0.21,-4.19,4
37.83,91.14,-53.76,-0.65,-4.61,4
36.42,76.85,-22.01,-0.72,3.87,4
11.05,57.0,19.72,0.24,-0.69,4
-11.86,24.26,31.65,1.31,-8.77,4
-14.83,-8.76,31.09,0.5,-6.68,4
-10.34,-21.18,-19.67,0.11,-5.74,4
6.44,-33.32,-53.55,0.7,-7.77,4
24.44,-34.32,-84.93,0.59,-7.22,4
25.59,-28.39,-75.3,0.15,-5.98,4
25.65,-24.97,-22.24,0.0,-7.9,4
19.03,-20.81,6.56,0.9,-9.81,4
6.52,-42.35,34.76,0.01,-7.31,4
-8.43,-57.16,16.24,0.04,-6.63,4
-2.3,-68.65,-5.34,0.67,-7.85,4
11.31,-49.08,-22.19,0.04,-7.35,4
-4.67,-24.44,-19.19,0.87,-7.52,4
-11.53,-7.04,20.46,0.46,-9.0,4
-22.89,0.39,16.62,0.6,-6.69,4
-35.09,-11.69,26.77,0.17,-2.5,4
-61.87,-12.89,10.53,0.86,-2.77,4
-71.77,-19.38,-42.87,-0.33,-5.94,4
-82.62,0.89,-52.42,2.09,-8.55,4
-97.09,10.04,-47.0,-0.89,-9.36,4
-93.89,15.54,10.97,3.09,-7.87,4
-75.51,8.65,46.35,-2.67,-5.85,4
-74.24,-14.32,58.48,5.87,-8.09,4
-88.71,-31.65,32.62,-12.38,-12.64,4
-79.75,-47.16,-45.93,-5.58,-16.72,4
-82.89,-32.48,-55.57,30.65,-16.37,4
-88.85,-22.7,-47.99,-25.85,-12.77,4
-93.98,-14.07,23.95,3.53,-10.44,4
-86.74,-24.99,82.62,6.38,-10.36,4
-94.31,-54.07,71.39,-5.91,-14.23,4
-83.19,-76.3,53.72,9.52,-16.56,4
-44.77,-107.69,-34.2,-5.63,-13.69,4
-10.65,-103.66,-72.53,-4.97,-7.61,4
5.84,-79.42,-65.55,7.21,-5.38,4
9.65,-50.95,-20.85,0.57,-8.47,4
-6.77,-41.55,88.38,-4.05,-13.31,4
-38.17,-60.74,139.36,-0.68,-14.47,4
-70.71,-86.76,164.43,4.62,-11.82,4
-82.13,-122.58,100.62,-0.65,-8.98,4
-59.21,-117.76,-19.82,-2.66,-6.42,4
-32.86,-111.27,-110.21,1.27,-7.97,4
-12.98,-81.88,-143.63,0.59,-13.17,4
-10.46,-40.61,-91.93,0.58,-17.72,4
-20.26,-27.45,-21.07,-0.21,-15.15,4
-29.86,-20.93,89.16,-0.2,-12.33,4
-10.78,-26.52,144.63,2.07,-5.95,4
10.13,-22.1,121.54,1.23,-9.56,4
34.23,-21.67,75.94,0.58,11.37,4
37.94,-7.32,-15.8,1.47,223.61,4
40.63,0.14,-53.02,2.15,342.73,4
46.97,0.06,-81.59,1.67,128.95,4
51.39,10.61,-56.35,1.24,-46.84,4
50.33,16.52,20.54,1.85,-49.49,4
31.83,39.44,64.29,2.26,16.11,4
3.98,46.94,121.8,2.28,7.25,4
-22.26,53.32,109.91,2.22,-17.55,4
-31.69,41.0,78.55,0.88,5.74,4
-13.37,14.34,12.03,1.67,-6.28,4
0.49,9.47,-71.87,2.85,-16.16,4
15.37,15.3,-98.8,1.47,1.86,4
17.83,47.1,-123.2,1.25,6.94,4
18.69,67.2,-49.01,2.4,-10.95,4
17.04,83.61,19.63,2.09,-11.88,4
15.36,60.11,65.72,1.61,-3.01,4
36.32,28.8,103.45,1.83,-8.86,4
60.92,9.52,30.5,1.62,-8.22,4
81.51,5.95,-7.59,1.37,-6.26,4
101.15,35.73,-65.26,1.54,127.06,4
118.54,50.3,-90.93,0.8,128.91,4
121.99,65.65,-61.62,0.29,2.05,4
117.6,55.31,-36.04,1.12,-64.58,4
105.92,44.43,25.78,1.12,-12.98,4
95.9,32.64,39.9,1.06,17.81,4
90.59,27.74,47.43,1.72,-22.64,4
80.29,40.07,27.04,1.49,-10.65,4
68.46,26.86,11.34,1.06,-6.77,4
59.97,36.83,11.51,1.42,-33.52,4
63.8,30.28,-3.92,1.12,-25.74,4
67.62,36.51,-5.96,0.99,-6.9,4
80.06,44.7,-33.34,1.73,-16.46,4
87.26,43.54,-41.45,1.09,-22.69,4
74.11,51.65,-42.42,0.16,-15.3,4
54.54,53.19,-34.46,0.81,-15.73,4
33.6,68.11,-34.51,1.13,-17.63,4
20.65,83.27,-35.31,0.64,-11.98,4
20.27,88.23,-17.18,0.79,-14.33,4
23.42,64.23,-14.5,0.88,-18.15,4
27.43,50.42,5.84,-0.02,-12.04,4
20.79,42.24,-0.76,0.18,-13.16,4
3.83,29.48,-8.99,0.32,-20.15,4
-23.08,32.18,-1.88,0.55,-17.57,4
-53.59,26.63,-30.25,0.34,-15.55,4
-61.27,-3.01,-43.22,0.49,-17.84,4
-55.22,-32.5,-58.03,0.85,-18.17,4
-44.06,-53.59,-49.01,-0.67,-5.08,4
-18.9,-65.54,-42.05,0.05,8.04,4
-11.87,-56.67,-18.8,-0.31,4.95,4
-6.88,-45.2,11.87,-1.69,-5.72,4
-4.19,-37.72,4.53,1.89,-13.8,4
-0.83,-19.24,16.78,-0.66,-12.87,4
7.09,10.26,-7.02,-2.99,-7.86,4
1.84,28.98,-23.18,0.75,-8.49,4
-3.44,38.89,-44.67,0.7,-6.15,4
-9.13,26.65,-23.59,0.51,-4.23,4
-24.96,11.72,30.98,0.18,-8.59,4
-49.97,1.84,40.54,-1.36,-7.29,4
-81.84,-19.11,65.24,-1.27,-6.34,4
-113.26,-4.71,10.9,0.34,-9.08,4
-131.93,2.56,-54.73,-0.71,-8.48,4
-147.96,4.62,-65.15,0.56,-8.43,4
-142.66,-4.74,-61.51,-0.5,-9.48,4
-132.61,-25.45,-2.8,52.54,-8.46,4
-117.77,-38.07,52.9,28.96,-7.34,4
-98.42,-62.93,72.93,-27.8,-6.34,4
-84.0,-55.09,55.65,8.33,-3.75,4
-49.71,-49.73,20.35,3.39,-4.12,4
-8.68,-33.69,-10.65,-5.57,-6.6,4
33.1,-19.53,-25.66,9.8,-5.93,4
61.08,-37.13,-11.02,-4.8,-2.33,4
